# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.6200,0.4700,0.4500,0.4500
-2.6200,0.4200,0.4500,0.4500
-2.6200,0.3700,0.4500,0.4500
-2.6200,0.3200,0.4500,0.4500
-2.6200,0.2700,0.4472,0.4472
-2.5700,0.2200,0.4743,0.4743
-2.5700,0.1700,0.4610,0.4610
-2.5200,0.1200,0.4717,0.4717
-2.4700,0.0700,0.4610,0.4610
-2.4200,0.0200,0.4610,0.4610
-2.3700,-0.0300,0.4717,0.4717
-2.3200,-0.0800,0.4924,0.4924
-2.2700,-0.0800,0.4743,0.4743
-2.2200,-0.1300,0.5099,0.5099
-2.1700,-0.1300,0.5025,0.5025
-2.1200,-0.1800,0.5500,0.5500
-2.0700,-0.1800,0.5500,0.5500
-2.0200,-0.1800,0.5500,0.5500
-1.9700,-0.2300,0.6000,0.6000
-1.9200,-0.2300,0.6000,0.6000
-1.8700,-0.2300,0.6000,0.6000
-1.8200,-0.2800,0.6500,0.6500
-1.7700,-0.2800,0.6500,0.6500
-1.7200,-0.2800,0.6500,0.6500
-1.6700,-0.3300,0.6519,0.6519
-1.6200,-0.3300,0.6576,0.6576
-1.5700,-0.3300,0.6671,0.6671
-1.5200,-0.3300,0.6801,0.6801
-1.4700,-0.3300,0.6964,0.6964
-1.4200,-0.3300,0.7018,0.7018
-1.3700,-0.3300,0.7071,0.7071
-1.3200,-0.3300,0.7159,0.7159
-1.2700,-0.3300,0.7280,0.7280
-1.2200,-0.3300,0.7433,0.7433
-1.1700,-0.3300,0.7500,0.7500
-1.1200,-0.3300,0.7517,0.7517
-1.0700,-0.3300,0.7566,0.7566
-1.0200,-0.3300,0.7566,0.7566
-0.9700,-0.3300,0.7517,0.7517
-0.9200,-0.3300,0.7500,0.7500
-0.8700,-0.3300,0.7517,0.7517
-0.8200,-0.3300,0.7566,0.7566
-0.7700,-0.3300,0.7566,0.7566
-0.7200,-0.3300,0.7517,0.7517
-0.6700,-0.3300,0.7500,0.7500
-0.6200,-0.2800,0.7906,0.7906
-0.5700,-0.2800,0.8000,0.8000
-0.5200,-0.2800,0.8000,0.8000
-0.4700,-0.2800,0.8000,0.8000
-0.4200,-0.2800,0.7906,0.7906
-0.3700,-0.2800,0.7762,0.7762
-0.3200,-0.2800,0.7649,0.7649
-0.2700,-0.2300,0.7566,0.7566
-0.2200,-0.2300,0.7649,0.7649
-0.1700,-0.2300,0.7762,0.7762
-0.1200,-0.2300,0.7906,0.7906
-0.0700,-0.2300,0.7906,0.7906
-0.0200,-0.2300,0.7762,0.7762
0.0300,-0.2300,0.7649,0.7649
0.0800,-0.2300,0.7566,0.7566
0.1300,-0.2300,0.7517,0.7517
0.1800,-0.1800,0.7649,0.7649
0.2300,-0.1800,0.7762,0.7762
0.2800,-0.1800,0.7906,0.7906
0.3300,-0.1800,0.8000,0.8000
0.3800,-0.1800,0.7906,0.7906
0.4300,-0.1800,0.7762,0.7762
0.4800,-0.1800,0.7649,0.7649
0.5300,-0.1800,0.7566,0.7566
0.5800,-0.1800,0.7517,0.7517
0.6300,-0.1300,0.7762,0.7762
0.6800,-0.1300,0.7906,0.7906
0.7300,-0.1300,0.8000,0.8000
0.7800,-0.1300,0.8000,0.8000
0.8300,-0.1300,0.7906,0.7906
0.8800,-0.1300,0.7762,0.7762
0.9300,-0.1300,0.7649,0.7649
0.9800,-0.0800,0.8062,0.8062
1.0300,-0.0800,0.8016,0.8016
1.0800,-0.0800,0.8000,0.8000
1.1300,-0.0800,0.8000,0.8000
1.1800,-0.0300,0.8062,0.8062
1.2300,-0.0300,0.8139,0.8139
1.2800,-0.0300,0.8139,0.8139
1.3300,0.0200,0.7906,0.7906
1.3800,0.0200,0.8000,0.8000
1.4300,0.0200,0.8000,0.8000
1.4800,0.0200,0.7826,0.7826
1.5300,0.0700,0.7517,0.7517
1.5800,0.0700,0.7566,0.7566
1.6300,0.0700,0.7649,0.7649
1.6800,0.0700,0.7649,0.7649
1.7300,0.0700,0.7566,0.7566
1.7800,0.0700,0.7517,0.7517
1.8300,0.0700,0.7500,0.7500
1.8800,0.1200,0.8000,0.8000
1.9300,0.1200,0.8000,0.8000
1.9800,0.1700,0.8201,0.8201
2.0300,0.1700,0.8062,0.8062
2.0800,0.2200,0.8201,0.8201
2.1300,0.2700,0.8322,0.8322
2.1800,0.3200,0.8485,0.8485
2.2300,0.3700,0.8515,0.8515
2.2300,0.4200,0.8201,0.8201
2.2800,0.4700,0.8322,0.8322
2.3300,0.5200,0.8500,0.8500
2.3800,0.5700,0.8732,0.8732
2.3800,0.6200,0.8544,0.8544
2.4300,0.6700,0.8860,0.8860
2.4800,0.7200,0.9220,0.9220
2.4800,0.7700,0.9124,0.9124
2.4800,0.8200,0.9055,0.9055
2.4800,0.8700,0.9014,0.9014
2.4800,0.9200,0.9000,0.9000
2.4800,0.9700,0.9000,0.9000
2.5300,1.0200,0.9500,0.9500
2.5300,1.0700,0.9513,0.9513
2.5300,1.1200,0.9552,0.9552
2.5300,1.1700,0.9618,0.9618
2.5300,1.2200,0.9708,0.9708
2.5300,1.2700,0.9823,0.9823
2.5300,1.3200,0.9962,0.9962
2.5300,1.3700,1.0000,1.0000
2.5300,1.4200,1.0000,1.0000
2.5300,1.4700,1.0000,1.0000
2.5300,1.5200,1.0000,1.0000
2.5300,1.5700,1.0000,1.0000
2.5300,1.6200,1.0000,1.0000
2.5300,1.6700,0.9962,0.9962
2.4800,1.7200,1.0308,1.0308
2.4800,1.7700,1.0198,1.0198
2.4800,1.8200,1.0112,1.0112
2.4800,1.8700,1.0050,1.0050
2.4300,1.9200,1.0512,1.0512
2.4300,1.9700,1.0500,1.0500
2.3800,2.0200,1.1000,1.1000
2.3800,2.0700,1.1000,1.1000
2.3300,2.1200,1.1511,1.1511
2.3300,2.1700,1.1543,1.1543
2.2800,2.2200,1.1630,1.1630
2.2800,2.2700,1.1853,1.1853
2.2300,2.3200,1.1630,1.1630
2.2300,2.3700,1.1853,1.1853
2.1800,2.4200,1.1630,1.1630
2.1800,2.4700,1.1853,1.1853
2.1300,2.5200,1.1630,1.1630
2.0800,2.5700,1.1413,1.1413
2.0300,2.6200,1.1236,1.1236
1.9800,2.6700,1.1102,1.1102
1.9300,2.7200,1.1011,1.1011
1.8800,2.7700,1.0966,1.0966
1.8300,2.8200,1.0735,1.0735
