# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.7700,2.4000,0.9434,0.9434
-0.7700,2.3500,0.9394,0.9394
-0.7700,2.3000,0.9179,0.9179
-0.8200,2.2500,0.9394,0.9394
-0.8700,2.2000,0.9220,0.9220
-0.9200,2.1500,0.8860,0.8860
-0.9700,2.1000,0.8544,0.8544
-1.0200,2.0500,0.8276,0.8276
-1.0200,2.0000,0.8500,0.8500
-1.0200,1.9500,0.8746,0.8746
-1.0200,1.9000,0.8382,0.8382
-1.0200,1.8500,0.7906,0.7906
-1.0700,1.8000,0.7616,0.7616
-1.1200,1.8000,0.7826,0.7826
-1.1700,1.8000,0.8016,0.8016
-1.2200,1.7500,0.7566,0.7566
-1.2700,1.7500,0.7649,0.7649
-1.3200,1.7000,0.7280,0.7280
-1.3700,1.7000,0.7433,0.7433
-1.4200,1.6500,0.7159,0.7159
-1.4700,1.6500,0.7280,0.7280
-1.5200,1.6500,0.7433,0.7433
-1.5700,1.6500,0.7433,0.7433
-1.6200,1.6500,0.7280,0.7280
-1.6700,1.6500,0.7159,0.7159
-1.7200,1.6500,0.7071,0.7071
-1.7700,1.6500,0.7018,0.7018
-1.8200,1.6500,0.7000,0.7000
-1.8700,1.6000,0.7500,0.7500
-1.9200,1.6000,0.7500,0.7500
-1.9700,1.6000,0.7500,0.7500
-2.0200,1.6000,0.7517,0.7517
-2.0700,1.6000,0.7566,0.7566
-2.1200,1.6000,0.7649,0.7649
-2.1700,1.6000,0.7649,0.7649
-2.2200,1.6000,0.7566,0.7566
-2.2700,1.6000,0.7517,0.7517
-2.3200,1.6000,0.7500,0.7500
-2.3700,1.6000,0.7517,0.7517
-2.4200,1.6000,0.7500,0.7500
-2.4700,1.6000,0.7500,0.7500
-2.5200,1.6000,0.7517,0.7517
-2.5700,1.6000,0.7566,0.7566
-2.6200,1.6000,0.7649,0.7649
-2.6700,1.6500,0.8246,0.8246
-2.7200,1.6500,0.8382,0.8382
-2.7700,1.7000,0.9000,0.9000
-2.8200,1.7500,0.9500,0.9500
-2.8700,1.8000,1.0000,1.0000
-2.9200,1.8500,1.0296,1.0296
-2.9200,1.9000,1.0296,1.0296
-2.9700,1.9500,1.0512,1.0512
-3.0200,2.0000,1.0770,1.0770
-3.0700,2.0500,1.1068,1.1068
-3.1200,2.1000,1.1402,1.1402
-3.1700,2.1500,1.1011,1.1011
-3.2200,2.1500,1.0512,1.0512
-3.2700,2.2000,1.0000,1.0000
-3.3200,2.2500,0.9513,0.9513
-3.3200,2.3000,0.9552,0.9552
