# x_m,y_m,w_tr_right_m,w_tr_left_m
23.700046, 27.599874, 1.000000, 1.000000
23.663577, 27.559744, 1.000000, 1.000000
23.615337, 27.548035, 1.000000, 1.000000
23.561207, 27.550530, 1.000000, 1.000000
23.508411, 27.549813, 1.000000, 1.000000
23.455220, 27.550043, 1.000000, 1.000000
23.402124, 27.550048, 1.000000, 1.000000
23.349058, 27.549979, 1.000000, 1.000000
23.295970, 27.549962, 1.000000, 1.000000
23.242869, 27.549979, 1.000000, 1.000000
23.189762, 27.550009, 1.000000, 1.000000
23.136658, 27.550032, 1.000000, 1.000000
23.083561, 27.550036, 1.000000, 1.000000
23.030471, 27.550025, 1.000000, 1.000000
22.977385, 27.550006, 1.000000, 1.000000
22.924300, 27.549983, 1.000000, 1.000000
22.871213, 27.549964, 1.000000, 1.000000
22.818123, 27.549953, 1.000000, 1.000000
22.765027, 27.549957, 1.000000, 1.000000
22.711922, 27.549982, 1.000000, 1.000000
22.658807, 27.550033, 1.000000, 1.000000
22.605677, 27.550116, 1.000000, 1.000000
22.552569, 27.550150, 1.000000, 1.000000
22.499718, 27.549561, 1.000000, 1.000000
22.446098, 27.550830, 1.000000, 1.000000
22.394805, 27.546481, 1.000000, 1.000000
22.358482, 27.505991, 1.000000, 1.000000
22.308361, 27.498813, 1.000000, 1.000000
22.254688, 27.500210, 1.000000, 1.000000
22.201657, 27.500055, 1.000000, 1.000000
22.148928, 27.499172, 1.000000, 1.000000
22.112190, 27.459686, 1.000000, 1.000000
22.064134, 27.447520, 1.000000, 1.000000
22.008797, 27.452934, 1.000000, 1.000000
21.970562, 27.417060, 1.000000, 1.000000
21.924512, 27.400055, 1.000000, 1.000000
21.878827, 27.382164, 1.000000, 1.000000
21.840355, 27.346864, 1.000000, 1.000000
21.784816, 27.352765, 1.000000, 1.000000
21.737443, 27.338949, 1.000000, 1.000000
21.700221, 27.300632, 1.000000, 1.000000
21.647990, 27.298547, 1.000000, 1.000000
21.611449, 27.258536, 1.000000, 1.000000
21.561861, 27.250220, 1.000000, 1.000000
21.518575, 27.226094, 1.000000, 1.000000
21.484165, 27.181731, 1.000000, 1.000000
21.446111, 27.145727, 1.000000, 1.000000
21.407074, 27.108907, 1.000000, 1.000000
21.371011, 27.070486, 1.000000, 1.000000
21.335125, 27.032322, 1.000000, 1.000000
21.293329, 26.996618, 1.000000, 1.000000
21.254283, 26.959625, 1.000000, 1.000000
21.251194, 26.907834, 1.000000, 1.000000
21.217897, 26.868559, 1.000000, 1.000000
21.196129, 26.824339, 1.000000, 1.000000
21.204375, 26.768439, 1.000000, 1.000000
21.173850, 26.724695, 1.000000, 1.000000
21.152255, 26.689025, 1.000000, 1.000000
21.198027, 26.651355, 1.000000, 1.000000
21.242626, 26.615771, 1.000000, 1.000000
21.249589, 26.566399, 1.000000, 1.000000
21.269435, 26.521312, 1.000000, 1.000000
21.317073, 26.487977, 1.000000, 1.000000
21.350819, 26.448923, 1.000000, 1.000000
21.349543, 26.395259, 1.000000, 1.000000
21.350191, 26.342362, 1.000000, 1.000000
21.349536, 26.289451, 1.000000, 1.000000
21.352008, 26.235331, 1.000000, 1.000000
21.339920, 26.187255, 1.000000, 1.000000
21.300612, 26.150437, 1.000000, 1.000000
21.299883, 26.097645, 1.000000, 1.000000
21.300161, 26.044435, 1.000000, 1.000000
21.299827, 25.991479, 1.000000, 1.000000
21.300064, 25.938286, 1.000000, 1.000000
21.300066, 25.885191, 1.000000, 1.000000
21.300004, 25.832122, 1.000000, 1.000000
21.299944, 25.779052, 1.000000, 1.000000
21.299930, 25.725964, 1.000000, 1.000000
21.300004, 25.672839, 1.000000, 1.000000
21.300177, 25.619672, 1.000000, 1.000000
21.299945, 25.566674, 1.000000, 1.000000
21.299437, 25.513790, 1.000000, 1.000000
21.302508, 25.459423, 1.000000, 1.000000
21.268855, 25.420268, 1.000000, 1.000000
21.246875, 25.376278, 1.000000, 1.000000
21.250808, 25.321555, 1.000000, 1.000000
21.249699, 25.268919, 1.000000, 1.000000
21.249989, 25.215705, 1.000000, 1.000000
21.250525, 25.162388, 1.000000, 1.000000
21.249224, 25.109833, 1.000000, 1.000000
21.250311, 25.056288, 1.000000, 1.000000
21.250669, 25.003045, 1.000000, 1.000000
21.212948, 24.965575, 1.000000, 1.000000
21.197567, 24.918851, 1.000000, 1.000000
21.200519, 24.864534, 1.000000, 1.000000
21.199941, 24.811679, 1.000000, 1.000000
21.199986, 24.758566, 1.000000, 1.000000
21.199841, 24.705531, 1.000000, 1.000000
21.200534, 24.652150, 1.000000, 1.000000
21.162346, 24.614873, 1.000000, 1.000000
21.147698, 24.567846, 1.000000, 1.000000
21.150291, 24.513678, 1.000000, 1.000000
21.150402, 24.460537, 1.000000, 1.000000
21.149404, 24.407856, 1.000000, 1.000000
21.150322, 24.354381, 1.000000, 1.000000
21.150012, 24.301415, 1.000000, 1.000000
21.111979, 24.264074, 1.000000, 1.000000
21.097140, 24.217127, 1.000000, 1.000000
21.101002, 24.162432, 1.000000, 1.000000
21.099980, 24.109761, 1.000000, 1.000000
21.099592, 24.056827, 1.000000, 1.000000
21.100228, 24.003469, 1.000000, 1.000000
21.099911, 23.950506, 1.000000, 1.000000
21.100506, 23.897165, 1.000000, 1.000000
21.097106, 23.845479, 1.000000, 1.000000
21.056711, 23.809116, 1.000000, 1.000000
21.048312, 23.759501, 1.000000, 1.000000
21.051465, 23.705100, 1.000000, 1.000000
21.020753, 23.664729, 1.000000, 1.000000
20.973929, 23.631024, 1.000000, 1.000000
20.947507, 23.588876, 1.000000, 1.000000
20.952778, 23.533627, 1.000000, 1.000000
20.938267, 23.486359, 1.000000, 1.000000
20.900122, 23.449351, 1.000000, 1.000000
20.899034, 23.395969, 1.000000, 1.000000
20.863997, 23.354204, 1.000000, 1.000000
20.809631, 23.351566, 1.000000, 1.000000
20.770369, 23.319700, 1.000000, 1.000000
20.726495, 23.296861, 1.000000, 1.000000
20.671871, 23.300610, 1.000000, 1.000000
20.619123, 23.299788, 1.000000, 1.000000
20.565729, 23.300500, 1.000000, 1.000000
20.513093, 23.299392, 1.000000, 1.000000
20.459754, 23.299988, 1.000000, 1.000000
20.405974, 23.301639, 1.000000, 1.000000
20.367756, 23.265723, 1.000000, 1.000000
20.322431, 23.246967, 1.000000, 1.000000
20.267772, 23.250745, 1.000000, 1.000000
20.214897, 23.250214, 1.000000, 1.000000
20.161937, 23.249890, 1.000000, 1.000000
20.108882, 23.249795, 1.000000, 1.000000
