# x_m,y_m,w_tr_right_m,w_tr_left_m
20.300024, 28.499943, 1.000000, 1.000000
20.262647, 28.458795, 1.000000, 1.000000
20.212577, 28.448291, 1.000000, 1.000000
20.157176, 28.450656, 1.000000, 1.000000
20.103136, 28.449739, 1.000000, 1.000000
20.048728, 28.449706, 1.000000, 1.000000
19.994094, 28.450221, 1.000000, 1.000000
19.939564, 28.450484, 1.000000, 1.000000
19.885502, 28.449619, 1.000000, 1.000000
19.831293, 28.449108, 1.000000, 1.000000
19.775045, 28.453518, 1.000000, 1.000000
19.729945, 28.431016, 1.000000, 1.000000
19.689487, 28.397306, 1.000000, 1.000000
19.633740, 28.400509, 1.000000, 1.000000
19.579394, 28.400329, 1.000000, 1.000000
19.525300, 28.399540, 1.000000, 1.000000
19.470536, 28.400369, 1.000000, 1.000000
19.416599, 28.399200, 1.000000, 1.000000
19.360685, 28.402804, 1.000000, 1.000000
19.320305, 28.368908, 1.000000, 1.000000
19.274993, 28.346917, 1.000000, 1.000000
19.218929, 28.350885, 1.000000, 1.000000
19.165066, 28.349536, 1.000000, 1.000000
19.110457, 28.349992, 1.000000, 1.000000
19.055734, 28.350721, 1.000000, 1.000000
19.001772, 28.349613, 1.000000, 1.000000
18.947632, 28.348934, 1.000000, 1.000000
18.891759, 28.352440, 1.000000, 1.000000
18.841343, 28.342774, 1.000000, 1.000000
18.803698, 28.302271, 1.000000, 1.000000
18.750293, 28.299820, 1.000000, 1.000000
18.695814, 28.299961, 1.000000, 1.000000
18.641340, 28.300088, 1.000000, 1.000000
18.586955, 28.300002, 1.000000, 1.000000
18.532606, 28.299828, 1.000000, 1.000000
18.478126, 28.299972, 1.000000, 1.000000
18.423613, 28.300195, 1.000000, 1.000000
18.369190, 28.300199, 1.000000, 1.000000
18.314981, 28.299687, 1.000000, 1.000000
18.260602, 28.299587, 1.000000, 1.000000
18.205285, 28.301751, 1.000000, 1.000000
18.166502, 28.263998, 1.000000, 1.000000
18.118894, 28.247549, 1.000000, 1.000000
18.063206, 28.250610, 1.000000, 1.000000
18.009150, 28.249730, 1.000000, 1.000000
17.954534, 28.250201, 1.000000, 1.000000
17.900274, 28.249813, 1.000000, 1.000000
17.845501, 28.250662, 1.000000, 1.000000
17.793191, 28.245567, 1.000000, 1.000000
